# 更新标记: 2025-11-16 03:36:03
央视频道,#genre#
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=2025111610004646885fa1ebce4026af1f571799b5620a&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e57d9d9f656e03a273803a5718e4d03d&ddCalcu=de35e071dd8490ed891f7655a63e00833a72
CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202511161000469003a195c1a849158d28fa999b897157&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0ee414c27f074a718658b7a26298b9bf&ddCalcu=f0bee9e1b41810942c6227af70b7845a6781
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=2025111610004611451429c105417e9c89266b7cc85db8&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=809356a2287730a03591c32da33f1bc6&ddCalcu=68c0eb91134f50363aa2d22837c713905a30
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=2025111610004609ea1715487e461891b0ad44c2d7ae13&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0c9fb40108b2efc807609e00178d3259&ddCalcu=905ce2913f1db08470110008eb920e6f7c08
CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=2025111610004636a3411c27f7435fa09a8a979a29c5de&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=9f67ea6c31575e49c28d2cbab0879db7&ddCalcu=79bfed619717e08a06bca3b1c527d58e24c9
CCTV5+,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202511161000466681dd038953404aba121c037e05b12f&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4e8ccc2f0bdb3f8b43a6b79492e6e88a&ddCalcu=a48ee881ec16c0ec229f409b7dbb63af384b
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=202511161000463b95455350914a3eb3366b3b14dea3fa&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7b9ae679ada348a8c413288654b32719&ddCalcu=971be7912a43e0b647596a8d8a2334184ac8
CCTV7,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=20251116100046becfd0f38b8c4778b0aa89c045444a4f&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=da8720274e47eeb4ed68bc0952c5261c&ddCalcu=cd1ae681273520c02257940ec4b78e6edbe4
CCTV8,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202511161000461a9992689ec4412a84cba054ef241d4c&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=1defde75ea4fb56b8215ad9744eed5d0&ddCalcu=01dde5e1df4ed0ee47457e9ad4af5b15268b
CCTV9,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=202511161000469a4568d45cae409a83aa8cf1e6ef367d&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20251116100046&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.88&SecurityKey=20251116100046&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ccb4e84d71268215eaded6a10f7e8c93&ddCalcu=3c9cecb1843ee078f40d17a162d6e8d2a1e5
